in:Values,out:p1,out:p2,out:p3,out:p4,out:ResponseFactor,out:Frequency01,out:Frequency02,out:Frequency03,out:ABS Elastic Deflections,,
284,2.9628,6.86165,7.80175,0.121045,14.961907,7.042379,7.152952,7.187477,0.006923,,
285,2.5868,11.50055,8.74255,0.139765,8.347429,4.514373,4.577448,4.668747,0.016225,,
286,5.986,5.20265,6.77555,0.323035,0.772566,6.828265,6.836875,8.568274,0.001602,,
287,8.7508,7.91795,8.27705,0.340315,2.033103,4.608549,4.609496,5.825377,0.005045,,
288,8.6852,8.61655,9.56435,0.393595,1.531197,3.990398,3.992151,5.056238,0.006256,,
289,6.39,9.75685,11.42565,0.327565,1.210058,3.827948,3.830984,4.642096,0.011673,,
290,4.418,10.95455,10.77045,0.298255,1.632893,4.083486,4.083825,4.86502,0.012078,,
291,7.6004,5.81655,9.82195,0.378025,0.981664,4.929024,4.941984,6.243153,0.00424,,
292,6.0012,5.04865,5.51975,0.155815,3.70406,8.804612,8.811084,10.908343,0.002243,,
293,5.1668,5.47145,8.50595,0.140665,6.811825,7.12989,7.200675,7.233069,0.005321,,
294,2.2404,7.84095,6.04265,0.297235,1.204902,6.964431,6.973736,8.684376,0.002162,,
295,5.0796,9.58185,9.82755,0.235015,2.376533,4.709481,4.710244,5.137283,0.01128,,
296,9.9004,9.17305,5.08015,0.179065,3.470661,5.79539,5.827929,5.906865,0.00655,,
297,8.966,7.77795,8.57105,0.279865,2.328889,4.72196,4.724484,5.963209,0.006794,,
298,8.7468,9.22555,11.70355,0.198835,3.186659,3.522201,3.705192,3.915479,0.022627,,
299,9.9524,7.52035,8.24555,0.324955,1.863581,4.629855,4.631913,5.856297,0.005223,,
300,5.0372,10.66685,7.82065,0.291025,1.491812,4.74513,4.753527,5.511776,0.007537,,
301,9.922,5.39515,9.73095,0.157165,3.426784,5.28651,5.545809,5.580432,0.008717,,
302,8.6828,9.54895,8.18325,0.397555,1.217117,4.086061,4.088734,5.177489,0.005682,,
303,9.1772,8.71175,9.73725,0.365515,1.416833,3.950021,3.951974,5.004716,0.007469,,
304,8.0044,11.55655,6.68455,0.354805,1.355501,4.260955,4.273699,5.118422,0.007848,,
305,6.8828,11.26535,5.32095,0.128275,5.697199,5.158277,5.593715,5.876809,0.00942,,
306,9.8084,11.12815,11.76305,0.322165,1.306394,3.218451,3.219359,3.80035,0.019004,,
307,5.782,6.99885,10.61155,0.235345,2.885989,5.112246,5.127289,5.295994,0.008187,,
308,2.1404,8.99385,11.53975,0.166855,5.089328,4.811468,4.971749,5.180692,0.013174,,
309,5.8316,10.19085,7.94105,0.321085,1.415608,4.580465,4.586333,5.7788,0.006752,,
310,4.2036,5.40845,8.38625,0.181165,3.277329,7.307003,7.333522,8.023974,0.003751,,
311,3.9772,11.57965,5.65345,0.225025,2.795739,5.74696,5.821815,5.857856,0.00648,,
312,9.818,7.39015,11.68955,0.295375,1.73819,3.994218,4.005393,4.310318,0.011342,,
313,9.8724,5.32655,11.62235,0.199105,2.305776,4.673135,4.933465,4.972817,0.009804,,
314,2.326,5.77385,7.68905,0.311035,1.042696,7.053576,7.063579,8.802062,0.001889,,
315,2.4924,6.43535,7.33205,0.347215,1.028609,6.587081,6.590766,8.233095,0.001769,,
316,2.1036,9.41175,6.44585,0.384805,1.063712,5.69518,5.704661,7.153725,0.002779,,
317,9.2764,9.08275,11.65525,0.362035,0.906537,3.533311,3.537475,4.466837,0.011562,,
318,6.5868,6.97365,9.87935,0.370285,1.824146,4.668397,4.675981,5.903158,0.004853,,
319,7.142,5.10535,8.42895,0.253795,1.919784,6.248943,6.26975,7.727983,0.003593,,
320,2.522,9.30465,5.31255,0.345085,0.862665,6.372847,6.391844,8.000592,0.002646,,
321,5.9548,11.65665,10.10825,0.247825,2.795308,4.026868,4.030546,4.032569,0.016823,,
322,8.7052,11.07355,5.82985,0.276745,1.776723,4.78287,4.80462,5.136137,0.008066,,
323,4.4036,7.85705,5.70105,0.380455,0.660177,6.119968,6.128333,7.696783,0.001889,,
324,5.47,9.96755,7.52245,0.201115,3.854422,5.332154,5.342648,5.343503,0.009281,,
325,3.0716,10.98395,10.76205,0.331855,1.800253,4.168583,4.168999,5.240847,0.009657,,
326,9.914,8.91615,11.21845,0.278905,1.40467,3.761237,3.76633,4.08282,0.014715,,
327,5.858,5.47355,7.78565,0.326095,0.846162,6.225783,6.23669,7.828114,0.002308,,
328,2.1436,7.54975,6.57605,0.240205,2.286852,7.299821,7.305779,9.056518,0.002708,,
329,9.0852,7.69885,8.92385,0.367345,1.258469,4.388407,4.391275,5.556274,0.005146,,
330,3.6828,10.30355,10.25875,0.211075,4.12396,4.80363,4.842984,4.850394,0.013435,,
331,2.2092,8.36035,6.98485,0.304405,1.541898,6.263479,6.269156,7.821801,0.002935,,
332,2.0684,11.08895,6.04755,0.203995,4.427803,6.453119,6.515877,6.549228,0.00527,,
333,5.026,8.69705,6.68525,0.362815,1.460399,5.358132,5.364439,6.750854,0.0032,,
334,3.8588,10.15935,7.25015,0.323965,2.947755,5.118358,5.127332,6.439469,0.005078,,
335,3.9804,9.83525,9.41665,0.317935,2.303285,4.597631,4.598671,5.78098,0.007198,,
336,2.4196,8.37505,10.56185,0.351295,1.526286,4.836469,4.841709,6.076969,0.005485,,
337,8.9068,10.36795,11.36825,0.139405,5.74369,2.704096,2.717457,2.722033,0.046549,,
338,8.9572,9.34595,10.58425,0.287695,1.412273,3.866577,3.869272,4.498524,0.012925,,
339,4.4228,5.17325,6.91345,0.390445,0.551966,6.772697,6.780695,8.50067,0.001189,,
340,6.2668,11.98635,9.39285,0.223585,3.157479,3.886703,4.149588,4.156806,0.017546,,
341,6.5748,11.05465,6.40805,0.295405,1.809273,4.829938,4.846548,5.406393,0.007213,,
342,8.8436,5.06825,11.08265,0.379345,1.042346,4.765839,4.788773,5.928724,0.005804,,
343,5.3988,11.19115,11.35845,0.148345,4.177274,3.107345,3.12698,3.127668,0.03497,,
344,4.2996,5.82355,5.12285,0.212485,2.023936,8.661521,8.66852,10.728959,0.001529,,
345,2.0964,9.30045,10.86075,0.266245,2.805863,5.023292,5.027832,5.623085,0.008278,,
346,8.5964,9.41455,11.02315,0.359215,0.976206,3.642421,3.645122,4.615767,0.010579,,
347,6.8076,5.33215,9.13735,0.131965,6.77857,6.165142,6.58189,6.596401,0.007076,,
348,9.5644,8.88255,8.67605,0.135265,5.411277,3.77831,3.803038,3.812294,0.023749,,
349,2.738,6.40595,6.43325,0.312805,1.367261,7.198168,7.198402,8.967773,0.001566,,
350,9.782,7.93685,11.01195,0.298975,1.223625,3.977563,3.985008,4.546695,0.010891,,
351,5.0612,8.76075,8.56615,0.151015,5.170846,5.107855,5.144702,5.19707,0.012698,,
352,5.9388,11.71125,9.84295,0.126085,5.245584,2.968185,2.983945,2.984143,0.039501,,
353,9.058,9.55105,9.10445,0.271585,1.705403,4.154706,4.155891,5.035561,0.011076,,
354,2.2852,10.84815,6.71535,0.248125,3.603281,5.907262,5.926479,6.281968,0.005553,,
355,2.906,7.79055,9.88915,0.283465,2.136621,5.417819,5.424976,6.598996,0.005523,,
356,9.0372,7.17875,7.54835,0.127585,6.001553,5.092346,5.145737,5.160838,0.013056,,
357,8.3908,5.52675,7.59735,0.190735,4.033016,6.39886,6.414711,7.368711,0.004676,,
358,5.9396,7.66385,9.21505,0.106135,11.682415,4.108504,4.122829,4.127903,0.021313,,
359,2.6396,8.66415,10.35325,0.345655,1.578638,4.791814,4.795793,6.020608,0.005739,,
360,3.8036,8.87065,7.02265,0.107305,11.469822,5.407591,5.448534,5.474917,0.011954,,
361,2.5372,8.46465,11.33675,0.276595,2.499909,4.975097,4.983531,5.449208,0.007921,,
362,5.3628,8.65225,8.07055,0.354505,2.123165,4.886292,4.887838,6.157969,0.004345,,
363,7.6364,5.00595,8.81255,0.209755,2.76991,6.265605,6.294334,6.913117,0.00463,,
364,2.5708,5.91875,6.06295,0.215605,2.601301,8.594398,8.595822,10.605541,0.001759,,
365,7.9508,9.12685,10.63815,0.399745,1.08838,3.734808,3.737235,4.73333,0.007938,,
366,9.138,5.52045,9.50905,0.316945,1.117955,5.11754,5.133893,6.481253,0.004929,,
367,7.5732,5.93695,10.76905,0.358645,1.470695,4.713522,4.729105,5.956003,0.005849,,
368,2.9148,7.86055,8.93155,0.201445,6.073451,6.218869,6.224404,6.726598,0.006328,,
369,2.8164,5.39865,5.66815,0.251785,1.644399,8.791632,8.793932,10.87035,0.001146,,
370,5.098,11.37175,9.29485,0.183835,4.240949,4.088986,4.245121,4.396812,0.017765,,
371,7.1548,6.88895,9.73445,0.254365,2.061414,5.051142,5.062397,5.719548,0.007049,,
372,4.666,5.20755,11.79175,0.184135,3.174932,5.671994,6.025071,6.078414,0.006675,,
373,4.4052,11.06585,10.81315,0.160525,4.826005,3.643108,3.67821,3.681792,0.025081,,
374,9.29,11.19185,7.69395,0.211345,2.011979,4.082229,4.301826,4.314312,0.014933,,
375,8.9596,6.54175,11.64545,0.193525,2.182118,4.279775,4.644231,4.668636,0.012597,,
376,7.9436,6.33035,11.60205,0.188875,2.446428,4.533512,4.901213,4.929157,0.01112,,
377,8.2828,8.44435,5.12845,0.344965,1.172905,5.662008,5.676638,7.154646,0.002952,,
378,2.2524,7.24245,8.50245,0.207055,5.247921,6.816559,6.82419,7.821212,0.004462,,
379,2.75,11.65735,8.66345,0.260815,2.398801,4.886136,4.895121,5.100028,0.009243,,
380,8.1196,11.29545,6.65515,0.175135,3.20239,4.417618,4.813432,4.886191,0.012794,,
381,6.6364,6.76365,6.20785,0.246715,1.935966,6.524013,6.527257,8.174849,0.002961,,
382,7.3756,9.11915,9.51465,0.211855,3.206096,4.588225,4.589607,4.735144,0.013283,,
383,4.3204,9.52095,6.36745,0.389215,1.305626,5.250096,5.259601,6.621884,0.003303,,
384,4.4404,7.57985,11.26255,0.396535,1.571123,4.396003,4.403886,5.556509,0.005856,,
385,9.4796,10.29795,7.84935,0.266305,1.538375,4.260554,4.267685,4.770599,0.010528,,
386,6.5332,9.13245,11.66365,0.207385,3.7681,3.915101,4.158889,4.281965,0.017783,,
387,3.1364,11.92615,11.35075,0.342085,1.377154,3.852966,3.853846,4.798056,0.011949,,
388,4.0084,5.39095,9.96895,0.242005,2.034922,6.330251,6.359203,6.958945,0.004393,,
389,3.4884,10.99445,10.42745,0.338755,1.701783,4.138182,4.139247,5.207832,0.009358,,
390,6.174,5.85015,9.23185,0.276205,1.73257,5.687206,5.70318,6.960118,0.00443,,
391,4.7044,5.55825,7.33065,0.224005,1.899063,7.243208,7.256272,9.036924,0.00273,,
392,8.9268,7.52735,6.10635,0.386755,0.690053,5.302382,5.307038,6.702461,0.002369,,
393,4.1548,9.81915,8.30925,0.380635,1.413045,4.611692,4.615035,5.813664,0.004919,,
394,6.3964,8.19655,11.50545,0.374125,1.602791,4.010941,4.017357,5.077767,0.008021,,
395,2.146,5.34475,10.16425,0.296845,1.620905,6.448177,6.474568,7.705378,0.003504,,
396,3.4364,6.59285,6.60475,0.251905,2.033447,7.228295,7.228353,8.996243,0.002306,,
397,2.558,11.94365,7.89345,0.312055,2.590237,4.815526,4.826643,5.428485,0.00725,,
398,7.9396,8.52555,6.87985,0.333775,1.659001,4.990789,4.996007,6.304089,0.004226,,
399,9.4884,9.91925,6.00835,0.114355,9.279377,4.443725,4.590961,4.780315,0.016054,,
400,5.898,10.02845,8.46535,0.244075,2.5279,4.754577,4.759705,5.230111,0.009665,,
401,6.5284,11.45015,11.43965,0.275815,1.879267,3.663805,3.663821,3.962005,0.01854,,
402,7.338,10.83415,6.05735,0.101005,10.07122,4.282582,4.390426,4.513851,0.0179,,
403,8.6756,6.32405,11.17225,0.131845,6.93292,4.235577,4.458042,4.749804,0.01601,,
404,4.7836,9.26475,7.45455,0.146245,6.237878,5.416964,5.580444,5.741309,0.0106,,
405,4.9428,8.16855,5.91385,0.333115,0.879102,6.009968,6.019442,7.555623,0.002584,,
406,8.5444,8.26305,8.16435,0.371275,2.032657,4.482406,4.482647,5.669102,0.004658,,
407,8.65,5.57855,8.10835,0.154885,5.233491,6.278502,6.300862,6.424422,0.006688,,
408,4.258,10.50305,11.49635,0.194545,3.502925,3.970592,4.091545,4.120183,0.019582,,
409,8.4844,10.80965,7.46015,0.137935,5.343004,3.874225,3.982118,4.133809,0.020497,,
410,3.9396,9.44885,7.36635,0.342835,1.344034,5.173011,5.179162,6.50698,0.004225,,
411,2.4292,11.86035,9.47195,0.286585,1.893658,4.584453,4.590261,5.016253,0.009758,,
412,7.2348,6.76155,6.30445,0.297625,1.377077,6.111929,6.114026,7.681513,0.002522,,
413,3.782,6.38005,11.25975,0.217555,3.598791,5.658824,5.702318,5.728323,0.006822,,
414,4.5964,9.32215,8.53465,0.186475,4.675509,5.4475,5.480394,5.484165,0.010264,,
415,5.0532,7.98865,8.19655,0.367135,2.493655,5.045745,5.04625,6.355072,0.00362,,
416,8.9196,8.12935,8.95255,0.158155,4.80799,4.473657,4.585195,4.605678,0.015991,,
417,9.5172,8.07405,10.37495,0.315265,1.312465,4.056034,4.0614,5.021731,0.009252,,
418,9.454,10.65705,9.41595,0.215335,3.008125,3.845897,3.97492,3.978523,0.019282,,
419,3.0892,9.98435,5.69685,0.333265,1.382858,5.888388,5.906826,7.40719,0.003607,,
420,6.318,10.24055,9.35295,0.163105,4.502711,4.008134,4.084591,4.110851,0.020025,,
421,4.7084,9.69175,8.22735,0.213535,4.02643,5.290453,5.296534,5.548286,0.009013,,
422,6.698,5.95095,7.48955,0.277435,2.01616,6.164413,6.172186,7.74582,0.003005,,
423,5.1916,9.32075,6.10775,0.113575,10.646717,5.63559,5.793531,5.981798,0.010287,,
424,6.1556,8.30575,7.17665,0.385555,1.539088,5.038084,5.041122,6.356948,0.003147,,
425,9.6076,10.52965,11.52575,0.328255,1.390291,3.346085,3.347597,4.048593,0.016247,,
426,8.306,7.07375,7.92635,0.357415,1.765107,4.980215,4.982734,6.291637,0.003514,,
427,4.3148,9.39285,11.14495,0.234865,2.618946,4.60977,4.615013,4.655379,0.01244,,
428,8.0892,8.94415,8.01035,0.277765,2.254329,4.681777,4.684703,5.907576,0.007295,,
429,6.1868,5.79555,11.79735,0.374215,1.501774,4.674727,4.694203,5.617114,0.006449,,
430,2.1132,5.91035,8.45205,0.192175,3.11679,7.705917,7.726535,8.656133,0.003331,,
431,8.6732,6.83155,9.50835,0.222925,2.6233,5.00165,5.013471,5.355706,0.00844,,
432,8.27,5.66675,5.75915,0.334495,1.001447,6.588518,6.589013,8.284681,0.001439,,
433,7.6108,9.91645,5.06825,0.150325,3.088542,5.871161,6.137351,6.184026,0.006905,,
434,3.5428,7.71285,11.46765,0.215065,3.286962,5.109764,5.262036,5.277721,0.009385,,
435,3.1292,5.54075,7.26905,0.226105,1.864438,7.790031,7.803461,9.67356,0.002251,,
436,9.6916,10.92865,6.53895,0.272665,2.026843,4.457131,4.472452,4.811179,0.009217,,
437,6.934,7.31945,6.05595,0.353485,0.834357,5.816113,5.82104,7.326158,0.002196,,
438,5.374,9.83945,6.16025,0.347245,1.262902,5.227253,5.239934,6.597684,0.004182,,
439,5.502,8.27215,9.01345,0.265555,2.97215,5.054916,5.057422,6.328564,0.006826,,
440,2.8892,6.87985,8.01245,0.165475,8.674094,7.323888,7.333093,7.780913,0.004953,,
441,9.098,6.19035,7.52525,0.387085,0.705843,5.244736,5.249003,6.630428,0.002429,,
442,2.0604,7.74645,10.35675,0.366115,2.013165,5.071021,5.077663,6.370999,0.004429,,
443,6.434,9.18985,7.29565,0.367885,1.468197,4.768076,4.773012,6.021345,0.004315,,
444,6.5436,6.35625,7.28095,0.130525,9.417457,6.644508,6.802448,6.864361,0.007459,,
445,8.5724,8.87765,9.12055,0.243145,2.06947,4.454835,4.455588,5.172658,0.010812,,
446,4.114,5.93555,10.87685,0.219325,3.179955,5.89607,5.925174,5.980816,0.00609,,
447,4.706,11.35845,10.07465,0.234535,3.599617,4.319431,4.343006,4.346458,0.01516,,
448,2.1324,6.60615,7.79265,0.104605,23.99416,7.281365,7.350531,7.371655,0.006786,,
449,4.8796,11.91775,9.80585,0.213265,4.125033,3.989298,4.215962,4.352457,0.01769,,
450,4.0788,11.81415,5.73815,0.354955,1.24581,5.082754,5.10517,5.934933,0.005802,,
451,2.8108,9.57485,7.33135,0.153775,9.455435,6.167633,6.429259,6.633147,0.007868,,
452,4.7076,9.71275,9.99695,0.312955,2.078692,4.391589,4.392205,5.528629,0.008496,,
453,9.1804,11.34445,7.34465,0.106495,5.348901,3.208118,3.223058,3.233565,0.033164,,
454,6.1716,7.27255,8.59555,0.171985,6.040662,5.831556,5.839686,5.873312,0.008474,,
455,2.4772,11.94645,9.66235,0.395125,1.233003,4.070205,4.073884,5.129423,0.007684,,
456,2.3732,8.70335,6.24915,0.328195,0.984368,6.266229,6.276491,7.844607,0.00262,,
457,5.1764,8.49545,6.76085,0.256915,2.40473,5.845895,5.853956,7.33435,0.004484,,
458,3.3508,11.69305,10.39385,0.368575,1.32779,3.937021,3.939071,4.962013,0.009488,,
459,4.4684,8.16015,6.26105,0.295615,1.917293,6.14084,6.149457,7.700654,0.003011,,
460,9.4964,9.31935,8.87555,0.349255,1.691845,4.006895,4.007809,5.074393,0.007572,,
461,5.638,10.52125,11.97095,0.316255,1.731908,3.724954,3.727433,4.2984,0.014057,,
462,4.1812,8.84125,8.13425,0.169675,5.665403,5.8537,5.983066,5.987216,0.009171,,
463,5.0924,10.60315,9.24935,0.185245,4.52461,4.384262,4.550662,4.645722,0.015646,,
464,7.9868,6.79935,11.01825,0.160225,3.652428,4.394083,4.690551,4.984033,0.013833,,
465,6.814,8.88465,8.90075,0.396415,1.835332,4.275185,4.27521,5.405674,0.005086,,
466,3.3908,10.07255,5.32375,0.244765,2.079324,6.481712,6.512595,7.137985,0.004169,,
467,9.4116,10.10825,10.42885,0.219175,2.614723,3.818755,3.876481,3.877347,0.020735,,
468,7.5004,8.44155,9.28715,0.359155,1.883064,4.314228,4.316087,5.454347,0.006017,,
469,6.2276,8.15665,7.11575,0.200245,5.10787,5.88313,5.889007,6.634835,0.006342,,
470,2.7028,6.75245,7.86545,0.129655,11.14784,7.495947,7.667125,7.743269,0.005938,,
471,7.3716,5.88655,10.87405,0.255835,2.090982,5.079096,5.102115,5.378723,0.007413,,
472,8.0132,8.02785,11.24995,0.269725,1.582999,4.196651,4.205465,4.479043,0.011489,,
473,2.7756,6.82035,9.83105,0.311425,1.533619,5.651867,5.662871,7.089732,0.004156,,
474,5.7356,11.06235,6.92815,0.274345,2.249203,4.870465,4.885013,5.286119,0.007675,,
475,4.91,7.16615,5.95725,0.133195,10.764287,7.723448,7.737222,7.829958,0.005217,,
476,5.294,9.61125,7.89555,0.143185,7.3418,4.81335,4.919228,5.017518,0.014079,,
477,5.7076,7.16685,11.84495,0.272155,2.455186,4.637985,4.653378,4.828146,0.009065,,
478,6.9524,11.45645,5.13685,0.195325,2.559185,5.31471,5.569877,5.616084,0.007668,,
479,8.4132,6.93305,6.87005,0.341005,1.169202,5.437476,5.437738,6.858558,0.002734,,
480,3.3684,11.58525,5.72345,0.357535,1.223704,5.257531,5.279615,6.294901,0.005159,,
481,3.9972,11.18345,11.37385,0.236755,3.213989,4.231557,4.244702,4.245193,0.016773,,
482,9.006,11.83865,8.72855,0.102325,27.078497,2.437364,2.443879,2.451997,0.059387,,
483,2.3604,5.80605,5.29505,0.115855,8.508061,10.721199,10.730606,11.919887,0.002358,,
484,7.5908,5.92225,5.92155,0.264385,1.627845,6.809825,6.809828,8.537512,0.002133,,
485,5.2452,7.50425,5.58205,0.395335,0.596956,6.092673,6.100091,7.670838,0.00166,,
486,7.002,5.84105,7.12625,0.130075,11.399487,7.031909,7.137023,7.151196,0.006461,,
487,9.0028,9.36135,9.41805,0.292105,1.789584,4.079096,4.079202,5.157013,0.010291,,
488,2.162,5.31745,10.18245,0.224575,2.550579,6.985955,7.021977,7.492804,0.003805,,
489,6.5508,11.12745,6.63835,0.106705,8.539423,4.127005,4.201188,4.283003,0.019722,,
490,3.6028,9.19335,9.06315,0.200785,4.520688,5.532053,5.532608,5.796813,0.009143,,
491,4.318,8.67605,6.29745,0.101815,13.42552,5.732903,5.803997,5.856841,0.010765,,
492,3.9796,8.06425,5.74305,0.272365,1.304986,6.689497,6.702468,8.369649,0.002727,,
493,2.3236,9.98785,7.61695,0.203515,4.796732,6.142313,6.154506,6.299594,0.006685,,
494,8.5604,7.31245,8.86925,0.201655,3.372662,5.115715,5.123101,5.435573,0.009143,,
495,2.8708,8.68655,10.84255,0.241915,2.910075,5.143576,5.150897,5.398943,0.008832,,
496,3.9468,10.45545,11.34305,0.146815,5.923151,3.601017,3.620566,3.634381,0.026236,,
497,3.3076,11.70355,11.62655,0.296365,2.326921,3.983852,3.98401,4.541004,0.014141,,
498,9.1036,10.08585,8.07545,0.346105,1.367009,4.081284,4.08567,5.170068,0.007629,,
499,8.462,11.37105,10.07955,0.383575,0.933435,3.429114,3.430928,4.34768,0.011383,,
500,6.306,6.71255,10.25735,0.301015,2.226587,4.939215,4.951238,5.911115,0.006084,,
501,6.6308,5.96145,6.22605,0.289615,1.403095,6.700388,6.701816,8.399039,0.001954,,
502,8.098,8.07895,8.89025,0.235225,2.736256,4.82334,4.826366,5.576871,0.008959,,
503,2.946,6.10285,10.62975,0.273475,1.881017,5.875746,5.897138,6.591093,0.004898,,
504,9.6676,8.48145,5.76335,0.244255,3.488147,5.490753,5.504874,6.647556,0.00508,,
505,9.3116,6.06715,6.15675,0.224155,3.416415,6.444164,6.444653,8.090898,0.003261,,
506,8.6468,10.44845,7.51405,0.122905,5.702231,3.691976,3.737581,3.793696,0.024737,,
507,6.2908,5.75565,7.74225,0.204835,3.410395,6.622942,6.637206,7.903463,0.004018,,
508,8.0108,9.68405,7.41815,0.122605,6.807183,4.081069,4.130604,4.18171,0.020092,,
509,6.4396,10.96995,11.20095,0.208735,2.510951,3.667586,3.714382,3.788502,0.022959,,
510,7.5932,8.77545,10.87825,0.152755,3.924352,3.657648,3.725206,3.801361,0.023876,,
511,8.2972,9.33825,6.55575,0.379015,1.085276,4.692506,4.700063,5.939781,0.004251,,
512,5.1292,8.53605,7.73875,0.282655,2.496143,5.359591,5.362495,6.732805,0.00506,,
513,2.8844,8.06215,7.47345,0.100675,16.932665,5.66193,5.682222,5.683161,0.011379,,
514,3.0612,8.49405,7.66595,0.283375,2.972282,5.852514,5.85574,7.319276,0.004092,,
515,5.9556,7.90955,6.56485,0.370765,0.86923,5.47452,5.478887,6.899618,0.002606,,
516,9.4252,7.73735,10.37775,0.194485,3.517178,4.255697,4.496601,4.507207,0.014843,,
517,9.982,7.45735,11.84425,0.187975,2.865113,3.752938,4.061673,4.215553,0.017862,,
518,9.7716,11.84355,8.08175,0.282835,1.276501,3.837967,3.847021,4.049052,0.013499,,
519,3.9028,7.85495,7.78285,0.266125,3.910287,5.929554,5.929794,7.417008,0.004228,,
520,6.7452,7.32645,11.31645,0.192055,2.782057,4.466247,4.844836,4.857973,0.012543,,
521,5.4116,7.68415,5.45465,0.202075,2.568025,7.074499,7.092406,8.446491,0.003399,,
522,4.0076,9.19615,7.26975,0.397585,1.287757,5.038234,5.043132,6.348597,0.003343,,
523,6.2372,11.56285,10.90695,0.146125,3.865763,2.959996,2.974602,2.983682,0.038612,,
524,9.8116,6.01395,5.20055,0.252985,1.369512,6.785295,6.791,8.524177,0.00211,,
525,3.6444,11.88905,9.53565,0.214135,4.475646,4.339672,4.609066,4.66626,0.014726,,
526,2.4012,10.51215,11.21005,0.327295,1.88513,4.310051,4.311353,5.411319,0.009266,,
527,3.5444,7.21865,8.96935,0.158875,8.749839,6.364817,6.579294,6.59188,0.007356,,
528,7.342,5.25655,9.72465,0.212515,2.959536,5.864567,5.894836,6.174777,0.005679,,
529,4.5636,9.28645,9.57625,0.119605,9.866854,3.905524,3.922963,3.923133,0.023139,,
530,8.8364,11.36895,8.91125,0.357325,0.985211,3.663064,3.667333,4.64426,0.010616,,
531,6.942,11.40045,7.56305,0.102805,7.42066,3.321967,3.334346,3.337627,0.032135,,
532,8.01,10.51775,5.66885,0.231625,2.307297,5.243648,5.269613,5.440415,0.00735,,
533,2.5588,8.60955,10.31265,0.376825,1.48297,4.695401,4.699056,5.906153,0.005128,,
534,8.2012,5.43295,7.96065,0.249385,1.935018,6.069882,6.084788,7.641634,0.003724,,
535,4.5564,8.70195,8.35405,0.176185,5.060807,5.802783,5.804729,5.816503,0.009332,,
536,4.014,9.25215,8.27985,0.102235,15.074389,4.160176,4.17263,4.176059,0.021088,,
537,8.1404,11.13865,10.31195,0.264085,1.988265,3.740988,3.742736,3.998159,0.017505,,
538,3.4772,11.27235,11.16455,0.190375,4.000186,4.020924,4.058887,4.112173,0.019781,,
539,7.2132,5.65205,5.38885,0.277495,1.30365,7.30105,7.302865,9.138319,0.001477,,
540,3.4988,9.13105,5.63665,0.240595,2.245908,6.658474,6.680387,7.735446,0.003651,,
541,9.0708,6.66565,7.79335,0.295165,1.836537,5.264002,5.26831,6.643437,0.004162,,
542,7.0676,8.63825,9.13175,0.140155,6.49809,4.215972,4.259419,4.26125,0.018901,,
543,3.3156,9.18495,7.07795,0.209425,3.848208,6.247049,6.258633,6.830391,0.005529,,
544,9.3004,10.59335,6.28065,0.222415,3.177684,4.824424,4.844331,4.862028,0.009296,,
545,5.4884,9.24725,8.95115,0.268465,2.541114,4.793584,4.794437,5.964753,0.007966,,
546,3.074,7.61135,6.53755,0.383605,0.854454,6.086301,6.090081,7.638497,0.001877,,
547,3.5884,7.02125,6.00695,0.335215,0.975921,6.737708,6.742487,8.430387,0.001669,,
548,2.586,5.10395,8.73975,0.226915,2.012617,7.531536,7.560569,8.850327,0.002792,,
549,7.402,6.17285,7.61275,0.344995,0.89675,5.608451,5.613888,7.071871,0.002642,,
550,2.9356,7.95925,7.62045,0.202405,5.037619,6.66613,6.668001,7.822876,0.004921,,
551,2.8316,5.24605,7.19905,0.169105,3.020565,8.715049,8.736811,10.323011,0.002431,,
552,3.41,8.44995,9.17935,0.208255,5.07648,5.73646,5.739791,6.155818,0.007722,,
553,5.21,7.73035,10.14255,0.172705,5.348874,5.033198,5.290062,5.427307,0.011459,,
554,2.478,7.04785,9.98575,0.284035,4.31608,5.750871,5.762274,6.92267,0.004674,,
555,5.918,10.58915,6.04195,0.379165,0.958513,4.879755,4.893814,6.1764,0.004876,,
556,5.7668,7.89625,5.63595,0.135325,10.148236,7.1333,7.225193,7.249872,0.005937,,
557,9.426,5.42315,9.57275,0.305845,1.313514,5.136302,5.15427,6.386639,0.005132,,
558,6.3468,5.45955,7.07725,0.318115,0.871206,6.480526,6.488785,8.139866,0.001946,,
559,2.4476,8.65505,8.03905,0.211945,4.527369,6.325466,6.328626,7.215262,0.00561,,
560,5.6932,10.85025,9.38165,0.179785,3.922681,4.073052,4.20587,4.295905,0.018368,,
561,9.2452,7.94945,6.22885,0.320515,1.495058,5.274346,5.28077,6.662192,0.003574,,
562,5.0284,11.73505,7.68765,0.104455,9.530068,3.630423,3.642329,3.647606,0.027005,,
563,9.2172,8.74185,9.28925,0.229285,1.964898,4.403778,4.405508,4.837322,0.012204,,
564,9.5212,11.37735,10.21955,0.274675,1.775421,3.543161,3.545409,3.815357,0.018636,,
565,8.83,8.50805,8.02225,0.199465,3.413172,4.960597,4.96278,5.327208,0.010518,,
566,7.3148,11.90795,10.94545,0.233155,2.433915,3.493568,3.670878,3.674165,0.023779,,
567,3.0684,11.08825,5.42035,0.200815,3.580783,6.413053,6.494581,6.537459,0.005267,,
568,5.2236,7.51195,6.35555,0.208975,4.573381,6.673962,6.681732,8.237455,0.003988,,
